Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746226315.61,0,0,48.0,0.0,1.0,1.0,23.86212890625,47.48125756255116,1004.3830881480285,74.08607842284843,11633.0
1746226317.54,0,0,48.0,0.5,1.0,1.0,23.7337109375,47.243132020954654,1004.7222112790669,71.24283712497395,24839.5
1746226319.54,0,0,44.0,0.5,1.0,1.0,23.692500000000003,47.20806776683219,1004.9146775340738,69.62953815958592,38891.0
1746226321.57,0,0,34.0,1.0,1.0,1.0,23.67814453125,46.97211872605098,1005.0544510823333,68.458085774064,52799.5
1746226323.51,0,0,35.5,1.0,1.0,1.0,23.67814453125,46.97211872605098,1005.0544510823333,68.458085774064,52799.5
1746226325.57,0,0,35.5,1.0,1.0,1.0,23.67072265625,46.87224800752796,1005.1629686803999,67.5486792544928,64241.5
1746226327.54,0,0,42.0,1.0,1.0,1.0,23.6719921875,46.96837752144761,1005.248385121645,66.83292265945657,73734.0
1746226329.56,0,0,26.5,1.0,1.0,1.0,23.645625000000003,46.99519230892032,1005.2984889340037,66.4130954624587,82962.0
1746226331.54,0,0,31.5,1.0,1.0,1.0,23.60001953125,46.992684631558795,1005.339757562951,66.06731288878726,91046.5
1746226333.57,0,0,46.0,1.0,1.0,1.0,23.5641796875,46.94635854970908,1005.3852579553973,65.68608690319553,101101.0
1746226335.52,0,0,46.0,1.0,1.0,1.0,23.525507812500003,46.96868675920872,1005.43091616074,65.30355117131799,108443.0
1746226337.56,0,0,40.5,1.0,1.0,1.0,23.478046875,47.13700296460489,1005.452788716055,65.1203030550848,113991.0
1746226339.54,0,0,38.0,1.0,1.0,1.0,23.45255859375,46.96888465855967,1005.4279841988348,65.32811554091981,120712.0
1746226341.57,0,0,44.5,1.0,1.0,1.0,23.42169921875,47.034157529674914,1005.4286364921277,65.3226503976514,126756.5
1746226343.55,0,0,44.5,1.0,1.0,1.0,23.40470703125,47.029104528117685,1005.4313360483653,65.30003339203351,131720.0
1746226345.55,0,0,41.5,1.0,1.0,1.0,23.393671875000003,47.036773748231695,1005.4494872020953,65.14796286039098,136227.5
1746226347.56,0,0,36.5,1.0,1.0,1.0,23.37755859375,47.040831353989375,1005.4715350421604,64.96324928321938,140662.5
